<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Pluie,15,12,C MALVAL,08/10/2024,14:38:57,957,Clermont 63 Ligne 2 passage 1,M         ,63L2P1
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.76,5.82,32.0,4.8,,0.00,?,?,?,?,?,?,0.146,
2,0.72,16.14,32.0,4.8,,0.00,?,?,?,?,?,?,0.146,
3,0.59,19.17,32.0,4.8,,0.00,?,?,?,?,?,?,0.298,
4,0.72,10.00,32.0,4.8,,0.00,?,?,?,?,?,?,0.450,
5,0.60,17.86,32.0,4.8,,0.00,?,?,?,?,?,?,0.614,
6,0.59,11.22,32.0,4.8,,0.00,?,?,?,?,?,?,0.614,
7,0.64,15.99,32.0,4.8,,0.00,?,?,?,?,?,?,0.766,
8,0.59,14.62,32.0,4.8,,0.00,?,?,?,?,?,?,0.922,
9,0.57,15.53,32.0,4.8,,0.00,?,?,?,?,?,?,0.922,
10,0.53,16.55,32.0,4.8,,0.00,?,?,?,?,?,?,1.084,
11,0.59,13.40,32.0,4.8,,0.00,?,?,?,?,?,?,1.237,
12,0.56,15.18,32.0,4.8,,0.00,?,?,?,?,?,?,1.237,
13,0.57,13.92,32.0,12.1,,0.00,?,?,?,?,?,?,1.405,
14,0.58,14.94,32.0,12.1,,0.00,?,?,?,?,?,?,1.564,
15,0.58,16.33,32.0,12.1,,0.00,?,?,?,?,?,?,1.728,
16,0.56,16.31,32.0,12.1,,0.00,?,?,?,?,?,?,1.728,
17,0.57,15.35,32.0,12.1,,0.00,?,?,?,?,?,?,1.894,
18,0.56,16.75,32.0,18.6,,0.00,?,?,?,?,?,?,2.046,
19,0.55,14.34,32.0,18.6,,0.00,?,?,?,?,?,?,2.198,
20,0.57,15.31,32.0,18.6,,0.00,?,?,?,?,?,?,2.198,
21,0.56,15.09,32.0,18.6,,0.00,?,?,?,?,?,?,2.363,
22,0.56,16.19,32.0,18.6,,0.00,?,?,?,?,?,?,2.363,
23,0.54,14.60,32.0,36.1,,0.00,?,?,?,?,?,?,2.516,
24,0.54,15.13,32.0,36.1,,0.00,?,?,?,?,?,?,2.667,
25,0.54,14.49,32.0,36.1,,0.00,?,?,?,?,?,?,2.831,
26,0.56,13.77,32.0,36.1,,0.00,?,?,?,?,?,?,2.831,
27,0.57,14.72,32.0,38.4,,0.00,?,?,?,?,?,?,2.995,
28,0.56,15.16,32.0,38.4,,0.00,?,?,?,?,?,?,3.157,
29,0.56,15.00,31.7,38.4,,0.00,?,?,?,?,?,?,3.318,
30,0.56,14.94,31.5,38.4,,0.00,?,?,?,?,?,?,3.318,
31,0.61,13.50,31.7,38.8,,0.00,?,?,?,?,?,?,3.470,
32,0.61,16.67,32.0,38.8,,0.00,?,?,?,?,?,?,3.625,
33,0.59,14.18,31.3,38.8,,0.00,?,?,?,?,?,?,3.625,
34,0.59,16.14,31.0,38.8,,0.00,?,?,?,?,?,?,3.782,
35,0.57,15.06,31.0,38.8,,0.00,?,?,?,?,?,?,3.942,
36,0.58,13.76,31.3,38.8,,0.00,?,?,?,?,?,?,3.942,
37,0.57,15.40,31.0,31.1,,0.00,?,?,?,?,?,?,4.094,
38,0.57,13.85,31.0,31.1,,0.00,?,?,?,?,?,?,4.252,
39,0.56,14.91,31.0,31.1,,0.00,?,?,?,?,?,?,4.414,
40,0.57,15.13,31.0,31.1,,0.00,?,?,?,?,?,?,4.414,
41,0.56,15.31,31.0,16.7,,0.00,?,?,?,?,?,?,4.578,
42,0.56,15.18,31.0,16.7,,0.00,?,?,?,?,?,?,4.737,
43,0.54,16.21,31.0,16.7,,0.00,?,?,?,?,?,?,4.737,
44,0.55,15.24,31.0,16.7,,0.00,?,?,?,?,?,?,4.900,
45,0.56,14.99,31.0,7.7,,0.00,?,?,?,?,?,?,5.063,
46,0.54,15.03,31.0,7.7,,0.00,?,?,?,?,?,?,5.220,
