<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,eclaircies,19,12,C MALVAL,08/10/2024,15:00:26,980,Clermont 63 Ligne 2 passage 3,M         ,63L2P3
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.56,16.04,32.0,4.2,,0.00,?,?,?,?,?,?,0.080,
2,0.64,16.77,31.5,4.2,,0.00,?,?,?,?,?,?,0.080,
3,0.78,12.58,32.0,4.1,,0.00,?,?,?,?,?,?,0.243,
4,0.59,21.49,32.0,4.1,,0.00,?,?,?,?,?,?,0.394,
5,0.64,9.41,32.0,4.1,,0.00,?,?,?,?,?,?,0.394,
6,0.69,17.56,32.0,4.1,,0.00,?,?,?,?,?,?,0.558,
7,0.57,16.81,32.0,4.1,,0.00,?,?,?,?,?,?,0.710,
8,0.65,11.03,32.0,4.1,,0.00,?,?,?,?,?,?,0.710,
9,0.57,17.54,32.0,2.6,,0.00,?,?,?,?,?,?,0.863,
10,0.56,10.90,32.0,2.6,,0.00,?,?,?,?,?,?,1.021,
11,0.62,15.58,32.0,2.6,,0.00,?,?,?,?,?,?,1.180,
12,0.57,14.65,32.0,2.6,,0.00,?,?,?,?,?,?,1.180,
13,0.56,15.19,32.0,2.4,,0.00,?,?,?,?,?,?,1.333,
14,0.55,16.50,32.0,2.4,,0.00,?,?,?,?,?,?,1.497,
15,0.57,12.71,32.0,2.4,,0.00,?,?,?,?,?,?,1.661,
16,0.57,14.74,32.0,2.4,,0.00,?,?,?,?,?,?,1.661,
17,0.55,13.50,32.0,19.6,,0.00,?,?,?,?,?,?,1.827,
18,0.57,14.57,32.0,19.6,,0.00,?,?,?,?,?,?,1.827,
19,0.57,16.28,32.0,19.6,,0.00,?,?,?,?,?,?,1.987,
20,0.56,15.89,32.0,19.6,,0.00,?,?,?,?,?,?,2.151,
21,0.55,14.93,32.0,32.5,,0.00,?,?,?,?,?,?,2.314,
22,0.53,15.94,31.0,32.5,,0.00,?,?,?,?,?,?,2.314,
23,0.55,14.15,31.0,32.5,,0.00,?,?,?,?,?,?,2.472,
24,0.57,14.69,31.5,32.5,,0.00,?,?,?,?,?,?,2.627,
25,0.55,14.62,31.0,37.5,,0.00,?,?,?,?,?,?,2.787,
26,0.55,15.01,31.0,37.5,,0.00,?,?,?,?,?,?,2.787,
27,0.56,14.88,31.0,37.5,,0.00,?,?,?,?,?,?,2.942,
28,0.56,15.38,31.0,37.5,,0.00,?,?,?,?,?,?,3.108,
29,0.56,14.43,31.0,37.5,,0.00,?,?,?,?,?,?,3.108,
30,0.55,13.72,31.0,37.5,,0.00,?,?,?,?,?,?,3.260,
31,0.56,14.62,31.0,35.0,,0.00,?,?,?,?,?,?,3.412,
32,0.55,14.89,31.0,35.0,,0.00,?,?,?,?,?,?,3.575,
33,0.56,14.20,31.0,35.0,,0.00,?,?,?,?,?,?,3.575,
34,0.55,14.67,31.0,35.0,,0.00,?,?,?,?,?,?,3.740,
35,0.56,12.32,31.0,35.0,,0.00,?,?,?,?,?,?,3.740,
36,0.59,16.28,31.0,26.1,,0.00,?,?,?,?,?,?,3.892,
37,0.57,14.43,31.0,26.1,,0.00,?,?,?,?,?,?,4.051,
38,0.58,15.31,31.0,26.1,,0.00,?,?,?,?,?,?,4.215,
39,0.56,15.13,31.0,26.1,,0.00,?,?,?,?,?,?,4.215,
40,0.57,13.69,31.0,15.3,,0.00,?,?,?,?,?,?,4.379,
41,0.55,15.31,31.0,15.3,,0.00,?,?,?,?,?,?,4.542,
42,0.56,13.61,31.0,15.3,,0.00,?,?,?,?,?,?,4.694,
43,0.56,14.45,31.0,15.3,,0.00,?,?,?,?,?,?,4.694,
44,0.57,15.13,31.0,8.3,,0.00,?,?,?,?,?,?,4.845,
45,0.56,15.18,31.0,8.3,,0.00,?,?,?,?,?,?,5.004,
46,0.58,15.29,31.0,8.3,,0.00,?,?,?,?,?,?,5.164,
47,0.56,16.45,31.0,8.3,,0.00,?,?,?,?,?,?,5.164,
48,0.55,15.71,31.0,9.9,,0.00,?,?,?,?,?,?,5.332,
49,0.57,14.87,31.0,9.9,,0.00,?,?,?,?,?,?,5.491,
50,0.53,15.68,31.0,9.9,,0.00,?,?,?,?,?,?,5.492,
51,0.56,13.50,31.0,9.9,,0.00,?,?,?,?,?,?,5.644,
52,0.57,16.17,31.0,6.1,,0.00,?,?,?,?,?,?,5.807,
53,0.58,13.64,31.0,6.1,,0.00,?,?,?,?,?,?,5.807,
54,0.58,15.19,31.0,6.1,,0.00,?,?,?,?,?,?,5.959,
55,0.57,14.43,31.0,6.1,,0.00,?,?,?,?,?,?,6.122,
56,0.58,15.04,31.0,6.1,,0.00,?,?,?,?,?,?,6.283,
57,0.58,14.33,31.0,6.1,,0.00,?,?,?,?,?,?,6.283,
58,0.58,14.67,31.0,5.3,,0.00,?,?,?,?,?,?,6.446,
59,0.61,15.60,31.0,5.3,,0.00,?,?,?,?,?,?,6.595,
60,0.62,14.28,31.0,5.3,,0.00,?,?,?,?,?,?,6.754,
61,0.64,15.35,31.0,5.3,,0.00,?,?,?,?,?,?,6.754,
62,0.63,15.26,31.0,5.0,,0.00,?,?,?,?,?,?,6.907,
63,0.63,15.87,31.0,5.0,,0.00,?,?,?,?,?,?,7.068,
64,0.63,14.69,31.0,5.0,,0.00,?,?,?,?,?,?,7.234,
65,0.63,15.87,31.0,5.0,,0.00,?,?,?,?,?,?,7.234,
66,0.59,15.35,31.0,4.9,,0.00,?,?,?,?,?,?,7.394,
67,0.61,13.67,31.0,4.9,,0.00,?,?,?,?,?,?,7.559,
68,0.62,16.01,31.0,4.9,,0.00,?,?,?,?,?,?,7.559,
69,0.60,14.90,31.0,4.9,,0.00,?,?,?,?,?,?,7.713,
70,0.59,13.40,31.0,4.9,,0.00,?,?,?,?,?,?,7.864,
71,0.58,15.00,31.0,5.1,,0.00,?,?,?,?,?,?,8.028,
72,0.55,16.01,31.0,5.1,,0.00,?,?,?,?,?,?,8.028,
73,0.56,14.49,31.0,5.1,,0.00,?,?,?,?,?,?,8.191,
74,0.54,16.04,31.0,5.1,,0.00,?,?,?,?,?,?,8.191,
75,0.56,12.88,31.0,5.1,,0.00,?,?,?,?,?,?,8.342,
76,0.54,16.04,31.0,4.9,,0.00,?,?,?,?,?,?,8.502,
77,0.54,12.84,31.0,4.9,,0.00,?,?,?,?,?,?,8.664,
78,0.57,18.00,31.0,4.9,,0.00,?,?,?,?,?,?,8.664,
79,0.57,15.16,31.0,4.9,,0.00,?,?,?,?,?,?,8.814,
80,0.71,14.35,31.0,5.0,,0.00,?,?,?,?,?,?,8.978,
81,0.79,18.71,31.0,5.0,,0.00,?,?,?,?,?,?,9.129,
82,0.84,13.45,31.0,5.0,,0.00,?,?,?,?,?,?,9.129,
83,0.96,10.73,31.0,5.0,,0.00,?,?,?,?,?,?,9.294,
84,0.76,21.08,31.0,4.9,,0.00,?,?,?,?,?,?,9.455,
85,0.85,9.52,31.0,4.9,,0.00,?,?,?,?,?,?,9.612,
86,0.87,17.73,31.0,4.9,,0.00,?,?,?,?,?,?,9.612,
87,0.78,15.08,31.0,4.9,,0.00,?,?,?,?,?,?,9.775,
88,0.83,14.65,31.0,5.0,,0.00,?,?,?,?,?,?,9.939,
89,0.81,14.82,31.0,5.0,,0.00,?,?,?,?,?,?,9.939,
90,0.81,14.62,31.0,5.0,,0.00,?,?,?,?,?,?,10.090,
91,0.79,14.91,31.0,5.0,,0.00,?,?,?,?,?,?,10.253,
92,0.81,14.69,31.0,5.0,,0.00,?,?,?,?,?,?,10.253,
93,0.80,15.86,31.0,5.6,,0.00,?,?,?,?,?,?,10.417,
94,0.79,15.94,31.0,5.6,,0.00,?,?,?,?,?,?,10.580,
95,0.81,15.32,31.0,5.6,,0.00,?,?,?,?,?,?,10.737,
96,0.80,15.67,31.0,5.6,,0.00,?,?,?,?,?,?,10.737,
97,0.82,13.84,31.0,5.6,,0.00,?,?,?,?,?,?,10.896,
98,0.82,14.57,31.0,5.6,,0.00,?,?,?,?,?,?,11.049,
99,0.81,14.45,31.0,5.6,,0.00,?,?,?,?,?,?,11.049,
100,0.81,15.18,31.0,5.6,,0.00,?,?,?,?,?,?,11.206,
101,0.80,15.26,31.0,5.6,,0.00,?,?,?,?,?,?,11.369,
102,0.79,15.97,31.0,7.6,,0.00,?,?,?,?,?,?,11.533,
103,0.78,15.18,31.0,7.6,,0.00,?,?,?,?,?,?,11.533,
104,0.78,15.24,31.0,7.6,,0.00,?,?,?,?,?,?,11.690,
105,0.77,14.16,31.0,7.6,,0.00,?,?,?,?,?,?,11.852,
106,0.78,15.62,31.0,7.6,,0.00,?,?,?,?,?,?,11.852,
107,0.76,15.13,31.0,7.6,,0.00,?,?,?,?,?,?,12.018,
108,0.77,15.26,31.0,7.6,,0.00,?,?,?,?,?,?,12.174,
109,0.77,14.67,31.0,7.6,,0.00,?,?,?,?,?,?,12.174,
110,0.78,14.36,31.0,7.6,,0.00,?,?,?,?,?,?,12.340,
111,0.78,14.45,31.0,7.7,,0.00,?,?,?,?,?,?,12.503,
112,0.78,14.13,31.0,7.7,,0.00,?,?,?,?,?,?,12.665,
113,0.80,14.25,31.0,7.7,,0.00,?,?,?,?,?,?,12.665,
114,0.80,14.83,31.0,7.7,,0.00,?,?,?,?,?,?,12.816,
115,0.78,16.19,31.0,7.7,,0.00,?,?,?,?,?,?,12.975,
116,0.78,15.50,31.0,7.7,,0.00,?,?,?,?,?,?,13.139,
117,0.80,13.72,31.0,7.7,,0.00,?,?,?,?,?,?,13.139,
118,0.77,14.78,31.0,7.7,,0.00,?,?,?,?,?,?,13.301,
119,0.79,14.77,31.0,7.7,,0.00,?,?,?,?,?,?,13.301,
120,0.78,15.93,31.0,7.7,,0.00,?,?,?,?,?,?,13.453,
121,0.78,15.35,31.0,8.2,,0.00,?,?,?,?,?,?,13.614,
122,0.78,15.34,31.0,8.2,,0.00,?,?,?,?,?,?,13.781,
123,0.77,15.57,31.0,8.2,,0.00,?,?,?,?,?,?,13.781,
124,0.78,15.44,31.0,8.2,,0.00,?,?,?,?,?,?,13.939,
125,0.78,15.87,31.0,7.7,,0.00,?,?,?,?,?,?,14.099,
126,0.77,14.88,31.0,7.7,,0.00,?,?,?,?,?,?,14.252,
127,0.79,13.84,31.0,7.7,,0.00,?,?,?,?,?,?,14.252,
128,0.78,14.88,31.0,7.7,,0.00,?,?,?,?,?,?,14.412,
129,0.78,14.55,31.0,7.8,,0.00,?,?,?,?,?,?,14.578,
130,0.79,15.03,31.0,7.8,,0.00,?,?,?,?,?,?,14.578,
131,0.80,14.01,31.0,7.8,,0.00,?,?,?,?,?,?,14.729,
132,0.80,14.33,31.0,7.8,,0.00,?,?,?,?,?,?,14.895,
133,0.79,14.59,31.0,7.8,,0.00,?,?,?,?,?,?,14.895,
134,0.78,15.82,31.0,7.8,,0.00,?,?,?,?,?,?,15.057,
135,0.77,15.66,31.0,7.7,,0.00,?,?,?,?,?,?,15.220,
136,0.77,16.21,31.0,7.7,,0.00,?,?,?,?,?,?,15.220,
137,0.76,14.90,31.0,7.7,,0.00,?,?,?,?,?,?,15.383,
138,0.75,14.91,31.0,7.7,,0.00,?,?,?,?,?,?,15.533,
139,0.77,13.50,31.0,6.5,,0.00,?,?,?,?,?,?,15.697,
140,0.79,15.33,31.0,6.5,,0.00,?,?,?,?,?,?,15.697,
141,0.76,15.31,31.0,6.5,,0.00,?,?,?,?,?,?,15.862,
142,0.79,15.48,31.0,6.5,,0.00,?,?,?,?,?,?,16.026,
143,0.76,15.40,31.0,6.5,,0.00,?,?,?,?,?,?,16.026,
144,0.78,12.71,31.0,6.5,,0.00,?,?,?,?,?,?,16.190,
145,0.78,15.22,31.0,6.5,,0.00,?,?,?,?,?,?,16.346,
146,0.78,14.38,31.0,6.5,,0.00,?,?,?,?,?,?,16.504,
147,0.78,15.24,31.0,6.5,,0.00,?,?,?,?,?,?,16.505,
148,0.77,14.35,31.0,5.5,,0.00,?,?,?,?,?,?,16.670,
149,0.78,14.85,31.0,5.5,,0.00,?,?,?,?,?,?,16.822,
150,0.78,14.67,31.0,5.5,,0.00,?,?,?,?,?,?,16.822,
151,0.80,15.00,31.0,5.5,,0.00,?,?,?,?,?,?,16.986,
152,0.78,14.99,31.0,5.5,,0.00,?,?,?,?,?,?,17.147,
153,0.79,15.35,31.0,5.5,,0.00,?,?,?,?,?,?,17.299,
154,0.77,15.28,31.0,5.5,,0.00,?,?,?,?,?,?,17.299,
155,0.78,14.74,31.0,5.5,,0.00,?,?,?,?,?,?,17.460,
156,0.78,14.40,31.0,5.5,,0.00,?,?,?,?,?,?,17.611,
157,0.79,14.26,31.0,5.4,,0.00,?,?,?,?,?,?,17.769,
158,0.80,14.72,31.0,5.4,,0.00,?,?,?,?,?,?,17.769,
159,0.77,15.37,31.0,5.4,,0.00,?,?,?,?,?,?,17.934,
160,0.78,15.48,31.0,5.4,,0.00,?,?,?,?,?,?,17.934,
161,0.77,15.13,31.0,5.4,,0.00,?,?,?,?,?,?,18.096,
162,0.77,13.64,31.0,5.4,,0.00,?,?,?,?,?,?,18.259,
163,0.78,14.18,31.0,5.4,,0.00,?,?,?,?,?,?,18.259,
164,0.77,14.39,31.0,5.4,,0.00,?,?,?,?,?,?,18.425,
165,0.77,15.40,31.0,5.4,,0.00,?,?,?,?,?,?,18.588,
