<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Clair et calme,19,12,C MALVAL,08/10/2024,15:10:31,972,Clermont 63 Ligne 2 passage 4,M         ,63L2P4
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.93,8.62,32.0,5.9,,0.00,?,?,?,?,?,?,0.137,
2,0.59,26.58,32.0,5.9,,0.00,?,?,?,?,?,?,0.300,
3,0.64,9.98,32.0,5.9,,0.00,?,?,?,?,?,?,0.300,
4,0.72,15.77,32.0,5.7,,0.00,?,?,?,?,?,?,0.462,
5,0.57,15.79,32.0,5.7,,0.00,?,?,?,?,?,?,0.621,
6,0.64,11.03,32.0,5.7,,0.00,?,?,?,?,?,?,0.621,
7,0.61,18.08,32.0,5.7,,0.00,?,?,?,?,?,?,0.775,
8,0.55,11.59,32.0,5.7,,0.00,?,?,?,?,?,?,0.935,
9,0.56,17.42,32.0,5.9,,0.00,?,?,?,?,?,?,1.086,
10,0.50,13.52,32.0,5.9,,0.00,?,?,?,?,?,?,1.086,
11,0.54,13.61,32.0,5.9,,0.00,?,?,?,?,?,?,1.244,
12,0.51,15.92,32.0,5.9,,0.00,?,?,?,?,?,?,1.396,
13,0.56,13.45,32.0,19.1,,0.00,?,?,?,?,?,?,1.556,
14,0.57,17.34,32.0,19.1,,0.00,?,?,?,?,?,?,1.556,
15,0.54,15.65,32.0,19.1,,0.00,?,?,?,?,?,?,1.714,
16,0.56,14.99,32.0,19.1,,0.00,?,?,?,?,?,?,1.879,
17,0.55,15.71,32.0,19.1,,0.00,?,?,?,?,?,?,1.879,
18,0.55,13.86,32.0,31.4,,0.00,?,?,?,?,?,?,2.043,
19,0.55,14.91,32.0,31.4,,0.00,?,?,?,?,?,?,2.196,
20,0.55,14.47,32.0,31.4,,0.00,?,?,?,?,?,?,2.196,
21,0.55,15.18,32.0,31.4,,0.00,?,?,?,?,?,?,2.357,
22,0.54,14.28,32.0,40.6,,0.00,?,?,?,?,?,?,2.509,
23,0.54,14.83,31.7,40.6,,0.00,?,?,?,?,?,?,2.675,
24,0.53,14.03,31.5,40.6,,0.00,?,?,?,?,?,?,2.675,
25,0.55,13.79,32.0,40.6,,0.00,?,?,?,?,?,?,2.838,
26,0.57,14.21,31.5,42.4,,0.00,?,?,?,?,?,?,2.990,
27,0.56,14.93,31.3,42.4,,0.00,?,?,?,?,?,?,2.990,
28,0.55,14.69,31.0,42.4,,0.00,?,?,?,?,?,?,3.152,
29,0.55,14.83,31.0,42.4,,0.00,?,?,?,?,?,?,3.316,
30,0.60,12.47,31.5,42.4,,0.00,?,?,?,?,?,?,3.316,
31,0.63,16.41,31.5,40.1,,0.00,?,?,?,?,?,?,3.479,
32,0.59,14.67,31.0,40.1,,0.00,?,?,?,?,?,?,3.641,
33,0.58,15.31,31.0,40.1,,0.00,?,?,?,?,?,?,3.641,
34,0.57,15.13,31.3,40.1,,0.00,?,?,?,?,?,?,3.806,
35,0.61,13.99,31.5,34.2,,0.00,?,?,?,?,?,?,3.962,
36,0.59,15.34,31.0,34.2,,0.00,?,?,?,?,?,?,4.121,
37,0.59,13.42,31.0,34.2,,0.00,?,?,?,?,?,?,4.121,
38,0.60,13.81,31.0,34.2,,0.00,?,?,?,?,?,?,4.274,
39,0.59,14.91,31.0,34.2,,0.00,?,?,?,?,?,?,4.436,
40,0.58,14.74,31.0,24.2,,0.00,?,?,?,?,?,?,4.587,
41,0.58,15.06,31.0,24.2,,0.00,?,?,?,?,?,?,4.587,
42,0.56,16.20,31.0,24.2,,0.00,?,?,?,?,?,?,4.750,
43,0.55,15.82,31.0,24.2,,0.00,?,?,?,?,?,?,4.915,
44,0.56,15.03,31.0,24.2,,0.00,?,?,?,?,?,?,4.915,
45,0.53,15.57,31.0,11.7,,0.00,?,?,?,?,?,?,5.077,
46,0.55,14.05,31.0,11.7,,0.00,?,?,?,?,?,?,5.229,
47,0.58,16.16,31.0,11.7,,0.00,?,?,?,?,?,?,5.229,
48,0.59,14.30,31.0,11.7,,0.00,?,?,?,?,?,?,5.391,
49,0.59,15.26,31.0,7.5,,0.00,?,?,?,?,?,?,5.555,
50,0.57,14.64,31.0,7.5,,0.00,?,?,?,?,?,?,5.711,
51,0.57,14.82,31.0,7.5,,0.00,?,?,?,?,?,?,5.711,
52,0.58,14.47,31.0,7.5,,0.00,?,?,?,?,?,?,5.862,
53,0.56,14.55,31.0,6.6,,0.00,?,?,?,?,?,?,6.027,
54,0.58,15.18,31.0,6.6,,0.00,?,?,?,?,?,?,6.192,
55,0.61,13.91,31.0,6.6,,0.00,?,?,?,?,?,?,6.192,
56,0.64,15.08,31.0,6.6,,0.00,?,?,?,?,?,?,6.344,
57,0.62,14.62,31.0,6.6,,0.00,?,?,?,?,?,?,6.502,
58,0.61,15.71,31.0,5.9,,0.00,?,?,?,?,?,?,6.667,
59,0.64,14.82,31.0,5.9,,0.00,?,?,?,?,?,?,6.667,
60,0.65,15.45,31.0,5.9,,0.00,?,?,?,?,?,?,6.828,
61,0.62,15.65,31.0,5.9,,0.00,?,?,?,?,?,?,6.978,
62,0.60,13.67,31.0,5.9,,0.00,?,?,?,?,?,?,6.978,
63,0.64,15.39,31.0,6.0,,0.00,?,?,?,?,?,?,7.133,
