<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Clair et calme,18,12,C MALVAL,08/10/2024,16:46:59,948,GRIP MK2 CLERMOMT LIGNE 2 PASSAGE 2,M         ,63L2bisP2
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.76,10.10,29.5,3.5,,0.00,?,?,?,?,?,?,0.108,
2,0.65,18.14,29.0,3.5,,0.00,?,?,?,?,?,?,0.266,
3,0.69,13.23,29.5,3.5,,0.00,?,?,?,?,?,?,0.266,
4,0.72,21.43,29.0,5.5,,0.00,?,?,?,?,?,?,0.430,
5,0.84,9.17,29.5,5.5,,0.00,?,?,?,?,?,?,0.585,
6,1.07,6.00,31.0,5.5,,0.00,?,?,?,?,?,?,0.749,
7,0.75,30.56,29.0,5.5,,0.00,?,?,?,?,?,?,0.749,
8,0.90,9.85,29.0,11.3,,0.00,?,?,?,?,?,?,0.913,
9,0.05,0.00,30.0,11.3,,0.00,?,?,?,?,?,?,1.064,
10,1.13,3.44,30.7,11.3,,0.00,?,?,?,?,?,?,1.227,
11,0.76,23.42,32.5,11.3,,0.00,?,?,?,?,?,?,1.227,
12,0.63,23.03,29.0,22.1,,0.00,?,?,?,?,?,?,1.389,
13,0.69,4.45,30.0,22.1,,0.00,?,?,?,?,?,?,1.541,
14,1.03,8.52,30.0,22.1,,0.00,?,?,?,?,?,?,1.702,
15,0.74,23.86,29.5,22.1,,0.00,?,?,?,?,?,?,1.702,
16,0.74,10.43,29.7,25.5,,0.00,?,?,?,?,?,?,1.867,
17,0.79,17.48,29.0,25.5,,0.00,?,?,?,?,?,?,2.022,
18,0.68,14.36,29.7,25.5,,0.00,?,?,?,?,?,?,2.179,
19,0.81,14.25,29.5,25.5,,0.00,?,?,?,?,?,?,2.179,
20,0.70,15.63,29.3,25.5,,0.00,?,?,?,?,?,?,2.340,
21,0.82,12.15,29.5,31.3,,0.00,?,?,?,?,?,?,2.492,
22,0.70,17.91,29.0,31.3,,0.00,?,?,?,?,?,?,2.654,
