abscisses;CFT
10;88
20;74;START
30;63
40;61
50;60
60;56
70;56
80;60
90;60
100;59
110;55
120;55
130;53
140;55
150;56
160;52
170;50
180;54
190;56
200;55
210;54
220;55
230;54
240;56
250;57
260;58
270;60
280;59
290;62
300;71
310;69
320;72
330;72
340;71
350;73
360;74
370;75
380;72
390;69
400;70
410;73
420;74
430;75
440;74
450;60
460;58
470;56
480;60
490;63
500;61
510;60
520;57
530;57
540;65
550;71
560;74
570;60
580;35
590;0
600;-1
610;-1
620;0
630;0
640;0
650;0
660;
670;
680;
690;
700;
710;
720;
730;
740;
750;
760;
770;
780;
790;
800;
810;
820;
830;
840;
850;
860;
;
;56
;
;73
;
;64
