<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,High Speed,50,0 ;25,,Pluie,18,12,C Malval,08/10/2024,12:03:09,955,Clermont 63 ligne 3 passage 2,M         ,63L3P2
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
1,1,Single Carriageway,Continuous,0,Event,0 ;45,Single Carriageway
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.66,3.15,31.3,6.3,,0.00,?,?,?,?,?,?,0.051,
2,0.63,0.02,31.5,6.3,,0.00,?,?,?,?,?,?,0.051,
3,1.20,0.91,33.3,6.3,,0.00,?,?,?,?,?,?,0.204,
4,0.87,10.39,37.0,6.3,,0.00,?,?,?,?,?,?,0.204,
5,0.35,35.68,31.3,6.5,,0.00,?,?,?,?,?,?,0.367,
6,0.62,11.37,32.0,6.5,,0.00,?,?,?,?,?,?,0.531,
7,0.43,0.36,31.7,6.5,,0.00,?,?,?,?,?,?,0.690,
8,1.20,0.34,32.0,6.5,,0.00,?,?,?,?,?,?,0.690,
9,0.94,13.56,34.3,6.3,,0.00,?,?,?,?,?,?,0.855,
10,0.66,31.30,31.0,6.3,,0.00,?,?,?,?,?,?,1.015,
11,0.70,12.13,32.0,6.3,,0.00,?,?,?,?,?,?,1.015,
12,1.15,3.62,32.0,6.3,,0.00,?,?,?,?,?,?,1.178,
13,0.82,21.59,31.5,13.3,,0.00,?,?,?,?,?,?,1.343,
14,0.68,16.79,31.7,13.3,,0.00,?,?,?,?,?,?,1.343,
15,0.80,10.37,31.5,13.3,,0.00,?,?,?,?,?,?,1.500,
16,0.76,16.43,31.7,13.3,,0.00,?,?,?,?,?,?,1.662,
17,0.75,15.40,32.0,13.3,,0.00,?,?,?,?,?,?,1.662,
18,0.77,15.32,31.3,28.2,,0.00,?,?,?,?,?,?,1.815,
19,0.77,16.31,31.0,28.2,,0.00,?,?,?,?,?,?,1.968,
20,0.84,12.65,31.0,28.2,,0.00,?,?,?,?,?,?,2.127,
21,0.82,15.11,31.0,28.2,,0.00,?,?,?,?,?,?,2.127,
22,0.78,14.62,31.0,36.9,,0.00,?,?,?,?,?,?,2.293,
23,0.81,15.01,31.5,36.9,,0.00,?,?,?,?,?,?,2.445,
24,0.77,14.13,31.3,36.9,,0.00,?,?,?,?,?,?,2.597,
