<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Pluie,18,12,C Malval,08/10/2024,12:22:57,957,Clermont 63 ligne 3 passage 4,M         ,63L3P4
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.81,16.74,31.0,6.1,,0.00,?,?,?,?,?,?,0.105,
2,0.75,14.67,31.0,6.1,,0.00,?,?,?,?,?,?,0.105,
3,0.81,14.96,31.0,6.1,,0.00,?,?,?,?,?,?,0.264,
4,0.76,16.26,31.0,6.1,,0.00,?,?,?,?,?,?,0.429,
5,0.79,15.63,31.0,6.1,,0.00,?,?,?,?,?,?,0.429,
6,0.77,15.04,31.0,6.1,,0.00,?,?,?,?,?,?,0.581,
7,0.79,15.50,31.0,6.1,,0.00,?,?,?,?,?,?,0.747,
8,0.75,16.92,31.0,6.1,,0.00,?,?,?,?,?,?,0.911,
9,0.79,14.44,31.0,6.1,,0.00,?,?,?,?,?,?,0.911,
10,0.78,17.19,31.0,6.6,,0.00,?,?,?,?,?,?,1.077,
11,0.76,13.84,31.0,6.6,,0.00,?,?,?,?,?,?,1.229,
12,0.75,15.89,31.0,6.6,,0.00,?,?,?,?,?,?,1.229,
13,0.75,13.32,31.3,6.6,,0.00,?,?,?,?,?,?,1.381,
14,0.75,17.04,31.0,19.8,,0.00,?,?,?,?,?,?,1.544,
15,0.70,15.65,31.0,19.8,,0.00,?,?,?,?,?,?,1.708,
16,0.72,14.79,31.0,19.8,,0.00,?,?,?,?,?,?,1.708,
17,0.70,14.06,31.5,19.8,,0.00,?,?,?,?,?,?,1.870,
18,0.72,15.81,31.7,33.1,,0.00,?,?,?,?,?,?,2.034,
19,0.69,16.06,31.5,33.1,,0.00,?,?,?,?,?,?,2.034,
20,0.71,13.92,31.3,33.1,,0.00,?,?,?,?,?,?,2.198,
21,0.71,14.11,31.5,33.1,,0.00,?,?,?,?,?,?,2.198,
22,0.70,14.47,31.7,33.1,,0.00,?,?,?,?,?,?,2.360,
23,0.72,14.57,32.0,39.7,,0.00,?,?,?,?,?,?,2.514,
24,0.70,16.77,31.7,39.7,,0.00,?,?,?,?,?,?,2.669,
25,0.72,14.13,32.0,39.7,,0.00,?,?,?,?,?,?,2.669,
26,0.71,17.39,31.3,39.7,,0.00,?,?,?,?,?,?,2.833,
27,0.69,15.26,32.0,44.7,,0.00,?,?,?,?,?,?,2.995,
28,0.72,14.20,31.0,44.7,,0.00,?,?,?,?,?,?,3.152,
29,0.70,14.57,31.5,44.7,,0.00,?,?,?,?,?,?,3.152,
30,0.73,13.35,31.7,44.7,,0.00,?,?,?,?,?,?,3.309,
31,0.71,18.09,31.5,44.7,,0.00,?,?,?,?,?,?,3.472,
32,0.67,15.22,32.0,44.7,,0.00,?,?,?,?,?,?,3.472,
33,0.70,13.69,32.0,42.4,,0.00,?,?,?,?,?,?,3.624,
34,0.68,14.13,32.0,42.4,,0.00,?,?,?,?,?,?,3.777,
35,0.70,13.03,31.5,42.4,,0.00,?,?,?,?,?,?,3.934,
36,0.71,15.68,32.0,42.4,,0.00,?,?,?,?,?,?,3.934,
37,0.66,16.97,32.0,36.5,,0.00,?,?,?,?,?,?,4.095,
38,0.72,11.82,32.0,36.5,,0.00,?,?,?,?,?,?,4.247,START@38.0m
39,0.73,18.02,31.0,36.5,,0.00,?,?,?,?,?,?,4.247,
40,0.64,14.38,31.3,36.5,,0.00,?,?,?,?,?,?,4.408,
41,0.59,13.99,31.5,36.5,,0.00,?,?,?,?,?,?,4.560,
42,0.56,16.02,31.3,25.9,,0.00,?,?,?,?,?,?,4.725,
43,0.60,13.62,31.5,25.9,,0.00,?,?,?,?,?,?,4.725,
44,0.60,15.60,31.3,25.9,,0.00,?,?,?,?,?,?,4.889,
45,0.58,14.79,31.5,25.9,,0.00,?,?,?,?,?,?,5.051,
46,0.58,14.82,31.3,14.5,,0.00,?,?,?,?,?,?,5.215,
47,0.55,15.40,31.5,14.5,,0.00,?,?,?,?,?,?,5.215,
48,0.56,14.41,31.3,14.5,,0.00,?,?,?,?,?,?,5.374,
49,0.55,16.50,31.0,14.5,,0.00,?,?,?,?,?,?,5.374,
50,0.56,13.96,31.0,8.6,,0.00,?,?,?,?,?,?,5.541,
