<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Pluie,19,12,C MALVAL,08/10/2024,14:04:43,946,clermont Ligne 3 passage 5,M         ,63L3P5
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.82,0.16,31.0,2.5,,0.00,?,?,?,?,?,?,0.158,
2,1.20,0.51,31.0,2.5,,0.00,?,?,?,?,?,?,0.159,
3,1.20,0.36,31.3,2.5,,0.00,?,?,?,?,?,?,0.311,
4,1.20,0.90,32.0,2.4,,0.00,?,?,?,?,?,?,0.477,
5,0.85,21.09,35.3,2.4,,0.00,?,?,?,?,?,?,0.477,
6,0.55,35.89,31.0,2.4,,0.00,?,?,?,?,?,?,0.629,
7,0.90,7.19,31.7,2.4,,0.00,?,?,?,?,?,?,0.780,
8,1.20,2.18,32.0,2.4,,0.00,?,?,?,?,?,?,0.780,
9,0.81,22.87,31.0,2.4,,0.00,?,?,?,?,?,?,0.933,
10,0.67,16.58,31.5,2.4,,0.00,?,?,?,?,?,?,1.096,
11,0.90,8.88,32.0,2.4,,0.00,?,?,?,?,?,?,1.260,
12,0.76,19.98,32.0,2.4,,0.00,?,?,?,?,?,?,1.260,
13,0.76,11.25,31.7,2.6,,0.00,?,?,?,?,?,?,1.412,
14,0.81,15.28,31.5,2.6,,0.00,?,?,?,?,?,?,1.564,
15,0.76,15.84,31.3,2.6,,0.00,?,?,?,?,?,?,1.715,
16,0.77,13.79,31.5,2.6,,0.00,?,?,?,?,?,?,1.715,
17,0.80,15.71,31.7,2.6,,0.00,?,?,?,?,?,?,1.879,
18,0.75,15.04,31.5,4.0,,0.00,?,?,?,?,?,?,2.042,
19,0.84,12.27,31.5,4.0,,0.00,?,?,?,?,?,?,2.042,
20,0.77,18.79,31.7,4.0,,0.00,?,?,?,?,?,?,2.203,
21,0.78,10.64,31.5,4.0,,0.00,?,?,?,?,?,?,2.355,
22,0.86,16.45,31.0,12.3,,0.00,?,?,?,?,?,?,2.507,
23,0.71,14.91,31.5,12.3,,0.00,?,?,?,?,?,?,2.507,
24,0.88,11.82,31.7,12.3,,0.00,?,?,?,?,?,?,2.672,
25,0.76,21.34,31.5,12.3,,0.00,?,?,?,?,?,?,2.824,
26,0.78,10.53,31.3,15.8,,0.00,?,?,?,?,?,?,2.983,
27,0.80,18.90,31.0,15.8,,0.00,?,?,?,?,?,?,2.983,
28,0.71,14.02,31.3,15.8,,0.00,?,?,?,?,?,?,3.149,
29,0.78,15.04,31.0,15.8,,0.00,?,?,?,?,?,?,3.313,
30,0.74,14.10,31.7,15.8,,0.00,?,?,?,?,?,?,3.313,
31,0.81,14.99,32.0,15.8,,0.00,?,?,?,?,?,?,3.465,
32,0.77,14.98,31.3,16.7,,0.00,?,?,?,?,?,?,3.628,
33,0.78,14.57,31.0,16.7,,0.00,?,?,?,?,?,?,3.628,
34,0.76,14.82,31.7,16.7,,0.00,?,?,?,?,?,?,3.795,
35,0.77,16.45,31.5,16.7,,0.00,?,?,?,?,?,?,3.960,
36,0.74,15.39,31.3,15.5,,0.00,?,?,?,?,?,?,4.120,
37,0.79,12.22,31.5,15.5,,0.00,?,?,?,?,?,?,4.120,
38,0.78,15.78,31.7,15.5,,0.00,?,?,?,?,?,?,4.271,
39,0.75,12.93,31.5,15.5,,0.00,?,?,?,?,?,?,4.424,
40,0.79,13.99,31.7,15.5,,0.00,?,?,?,?,?,?,4.424,
41,0.73,16.82,32.0,15.3,,0.00,?,?,?,?,?,?,4.576,
42,0.72,14.10,31.3,15.3,,0.00,?,?,?,?,?,?,4.740,
43,0.76,16.85,31.5,15.3,,0.00,?,?,?,?,?,?,4.740,
44,0.75,14.80,31.3,15.3,,0.00,?,?,?,?,?,?,4.901,
45,0.79,14.03,31.0,15.1,,0.00,?,?,?,?,?,?,5.053,
46,0.82,13.43,31.7,15.1,,0.00,?,?,?,?,?,?,5.218,
47,0.87,15.55,31.5,15.1,,0.00,?,?,?,?,?,?,5.218,
48,0.81,15.19,31.7,15.1,,0.00,?,?,?,?,?,?,5.379,
49,0.88,12.54,31.0,14.7,,0.00,?,?,?,?,?,?,5.546,
50,0.81,15.75,31.3,14.7,,0.00,?,?,?,?,?,?,5.698,
51,0.81,9.98,31.5,14.7,,0.00,?,?,?,?,?,?,5.698,
52,0.82,13.69,31.0,14.7,,0.00,?,?,?,?,?,?,5.854,
53,0.73,16.89,31.3,14.7,,0.00,?,?,?,?,?,?,6.011,
54,0.71,15.43,31.5,14.7,,0.00,?,?,?,?,?,?,6.011,START@54.0m
55,0.78,12.05,31.3,14.5,,0.00,?,?,?,?,?,?,6.170,
