ABS;L3 LYON 8° Passage
10;75
20;88
30;86
40;82
50;83
60;72;START
70;57
80;59
90;58
100;56
110;54
120;55
130;55
140;56
150;56
160;54
170;53
180;50
190;40
200;16
210;40
220;66
230;65
240;74
250;69
260;65
270;66
280;67
290;61
300;67
310;71
320;76
330;65
340;27
350;36
360;28
370;29
380;49
390;56
400;57
410;39
420;53
430;85
440;80
450;78
460;74
470;77
480;78
490;76
500;56
510;37
520;39
530;35
540;34
550;35
560;35
570;31
580;54
590;81
600;82
610;79
620;78
630;85
640;90
650;85
660;78
670;79
680;84
690;80
700;82
710;79
720;81
730;30
