<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT646,MK2,D,A92-230205,08-oct.-2024,0 ;796,1000,1,5,labo 63,30,0 ;25,,Pluie,0,0,C MALVAL,09/10/2024,09:44:27,945,materiel CLERMONT avec MK2 NEUF LYON LIGNE 2 PASSAGE 4,M         ,69L2P4
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
1,0.52,15.19,31.3,0.0,,0.00,?,?,?,?,?,?,0.031,
2,0.62,15.35,31.5,0.0,,0.00,?,?,?,?,?,?,0.031,
3,0.68,24.56,30.7,0.0,,0.00,?,?,?,?,?,?,0.184,
4,0.72,4.87,30.5,0.0,,0.00,?,?,?,?,?,?,0.342,
5,0.84,5.13,31.3,0.0,,0.00,?,?,?,?,?,?,0.507,
6,0.77,22.57,31.0,0.0,,0.00,?,?,?,?,?,?,0.508,
7,0.70,16.89,31.0,0.0,,0.00,?,?,?,?,?,?,0.669,
8,0.73,15.75,31.0,0.0,,0.00,?,?,?,?,?,?,0.826,
9,0.72,15.45,31.0,0.0,,0.00,?,?,?,?,?,?,0.989,
10,0.75,17.68,31.0,0.0,,0.00,?,?,?,?,?,?,0.989,
11,0.72,12.80,31.3,0.0,,0.00,?,?,?,?,?,?,1.153,
12,0.77,16.36,31.0,0.0,,0.00,?,?,?,?,?,?,1.153,
13,0.69,14.70,31.0,0.0,,0.00,?,?,?,?,?,?,1.317,
14,0.76,14.60,31.0,0.0,,0.00,?,?,?,?,?,?,1.481,
15,0.67,16.69,31.0,0.0,,0.00,?,?,?,?,?,?,1.647,
16,0.68,15.28,31.0,0.0,,0.00,?,?,?,?,?,?,1.647,
17,0.66,15.37,31.0,0.0,,0.00,?,?,?,?,?,?,1.808,
18,0.67,16.65,31.0,0.0,,0.00,?,?,?,?,?,?,1.964,
19,0.68,14.59,31.0,0.0,,0.00,?,?,?,?,?,?,2.121,
20,0.71,17.82,31.0,0.0,,0.00,?,?,?,?,?,?,2.121,
21,0.65,14.40,31.0,0.0,,0.00,?,?,?,?,?,?,2.285,
22,0.73,13.87,31.0,0.0,,0.00,?,?,?,?,?,?,2.436,
23,0.72,19.02,31.0,0.0,,0.00,?,?,?,?,?,?,2.436,
24,0.69,13.24,31.0,0.0,,0.00,?,?,?,?,?,?,2.588,
25,0.75,16.06,31.0,0.0,,0.00,?,?,?,?,?,?,2.749,
26,0.69,16.66,31.0,0.0,,0.00,?,?,?,?,?,?,2.901,
27,0.76,13.35,31.0,0.0,,0.00,?,?,?,?,?,?,2.901,
28,0.73,18.42,31.0,0.0,,0.00,?,?,?,?,?,?,3.052,
29,0.73,14.30,31.0,0.0,,0.00,?,?,?,?,?,?,3.215,
30,0.73,14.07,31.0,0.0,,0.00,?,?,?,?,?,?,3.379,
31,0.76,16.36,31.0,0.0,,0.00,?,?,?,?,?,?,3.379,
32,0.72,15.91,31.0,0.0,,0.00,?,?,?,?,?,?,3.545,
33,0.76,14.52,31.0,0.0,,0.00,?,?,?,?,?,?,3.698,
34,0.75,16.15,31.0,0.0,,0.00,?,?,?,?,?,?,3.698,
35,0.75,15.09,31.0,0.0,,0.00,?,?,?,?,?,?,3.862,
36,0.74,16.98,31.0,0.0,,0.00,?,?,?,?,?,?,4.026,
37,0.74,14.16,31.0,0.0,,0.00,?,?,?,?,?,?,4.026,
38,0.74,15.19,31.0,0.0,,0.00,?,?,?,?,?,?,4.190,
39,0.74,15.84,31.0,0.0,,0.00,?,?,?,?,?,?,4.355,
40,0.74,13.95,31.0,0.0,,0.00,?,?,?,?,?,?,4.505,
41,0.72,16.26,31.0,0.0,,0.00,?,?,?,?,?,?,4.505,
42,0.69,16.09,31.0,0.0,,0.00,?,?,?,?,?,?,4.667,
43,0.68,15.33,31.0,0.0,,0.00,?,?,?,?,?,?,4.818,
44,0.73,16.87,31.0,0.0,,0.00,?,?,?,?,?,?,4.818,
45,0.75,14.89,31.0,0.0,,0.00,?,?,?,?,?,?,4.983,
46,0.75,14.88,31.0,0.0,,0.00,?,?,?,?,?,?,5.147,
47,0.75,14.45,31.0,0.0,,0.00,?,?,?,?,?,?,5.147,
48,0.70,17.29,31.0,0.0,,0.00,?,?,?,?,?,?,5.312,
49,0.75,11.98,31.0,0.0,,0.00,?,?,?,?,?,?,5.465,
50,0.78,17.33,31.0,0.0,,0.00,?,?,?,?,?,?,5.627,
51,0.69,14.03,31.0,0.0,,0.00,?,?,?,?,?,?,5.627,
52,0.75,13.45,31.0,0.0,,0.00,?,?,?,?,?,?,5.791,
53,0.68,18.46,31.0,0.0,,0.00,?,?,?,?,?,?,5.949,
54,0.66,16.37,31.0,0.0,,0.00,?,?,?,?,?,?,5.949,
55,0.66,14.25,31.0,0.0,,0.00,?,?,?,?,?,?,6.114,
56,0.70,14.70,31.0,0.0,,0.00,?,?,?,?,?,?,6.278,START@57.0m
57,0.65,19.66,31.0,0.0,,0.00,?,?,?,?,?,?,6.278,
58,0.55,13.25,31.0,0.0,,0.00,?,?,?,?,?,?,6.434,
59,0.55,16.09,31.0,0.0,,0.00,?,?,?,?,?,?,6.587,
60,0.52,16.02,31.0,0.0,,0.00,?,?,?,?,?,?,6.745,
61,0.55,15.58,31.0,0.0,,0.00,?,?,?,?,?,?,6.745,
62,0.54,16.72,31.0,0.0,,0.00,?,?,?,?,?,?,6.908,
63,0.56,14.95,31.0,0.0,,0.00,?,?,?,?,?,?,7.059,
64,0.56,17.02,31.0,0.0,,0.00,?,?,?,?,?,?,7.222,
65,0.51,15.16,31.0,0.0,,0.00,?,?,?,?,?,?,7.222,
66,0.49,16.58,31.0,0.0,,0.00,?,?,?,?,?,?,7.386,
67,0.50,16.09,31.0,0.0,,0.00,?,?,?,?,?,?,7.542,
68,0.53,15.48,31.0,0.0,,0.00,?,?,?,?,?,?,7.542,
69,0.49,15.14,31.0,0.0,,0.00,?,?,?,?,?,?,7.700,
70,0.48,14.57,31.0,0.0,,0.00,?,?,?,?,?,?,7.857,
71,0.48,16.07,31.0,0.0,,0.00,?,?,?,?,?,?,8.025,
72,0.50,16.26,31.0,0.0,,0.00,?,?,?,?,?,?,8.025,
73,0.48,15.53,31.0,0.0,,0.00,?,?,?,?,?,?,8.185,
74,0.51,15.84,31.0,0.0,,0.00,?,?,?,?,?,?,8.348,
75,0.48,16.40,31.0,0.0,,0.00,?,?,?,?,?,?,8.510,
76,0.50,17.31,31.0,0.0,,0.00,?,?,?,?,?,?,8.510,
77,0.47,14.00,31.0,0.0,,0.00,?,?,?,?,?,?,8.667,
78,0.56,16.70,31.0,0.0,,0.00,?,?,?,?,?,?,8.667,
79,0.49,21.03,31.0,0.0,,0.00,?,?,?,?,?,?,8.822,
80,0.42,3.94,31.0,0.0,,0.00,?,?,?,?,?,?,8.984,
81,0.58,17.62,31.0,0.0,,0.00,?,?,?,?,?,?,9.135,
82,0.44,20.00,31.0,0.0,,0.00,?,?,?,?,?,?,9.135,
83,0.45,13.12,31.0,0.0,,0.00,?,?,?,?,?,?,9.288,
84,0.50,17.73,31.0,0.0,,0.00,?,?,?,?,?,?,9.447,
85,0.49,15.89,31.0,0.0,,0.00,?,?,?,?,?,?,9.607,
86,0.50,16.45,31.0,0.0,,0.00,?,?,?,?,?,?,9.607,
87,0.49,15.45,31.0,0.0,,0.00,?,?,?,?,?,?,9.771,
88,0.51,16.43,31.0,0.0,,0.00,?,?,?,?,?,?,9.932,
89,0.52,16.56,31.0,0.0,,0.00,?,?,?,?,?,?,10.084,
90,0.53,15.94,31.0,0.0,,0.00,?,?,?,?,?,?,10.084,
91,0.52,17.49,31.0,0.0,,0.00,?,?,?,?,?,?,10.247,
92,0.50,15.77,31.0,0.0,,0.00,?,?,?,?,?,?,10.407,
93,0.52,16.90,31.0,0.0,,0.00,?,?,?,?,?,?,10.559,
94,0.50,16.55,31.0,0.0,,0.00,?,?,?,?,?,?,10.559,
95,0.54,15.13,31.0,0.0,,0.00,?,?,?,?,?,?,10.727,
96,0.54,17.78,31.0,0.0,,0.00,?,?,?,?,?,?,10.888,
97,0.53,14.88,31.0,0.0,,0.00,?,?,?,?,?,?,10.888,
98,0.58,16.80,31.0,0.0,,0.00,?,?,?,?,?,?,11.054,
99,0.55,16.71,31.0,0.0,,0.00,?,?,?,?,?,?,11.206,
100,0.55,16.50,31.0,0.0,,0.00,?,?,?,?,?,?,11.372,
101,0.52,15.97,31.0,0.0,,0.00,?,?,?,?,?,?,11.372,
