abscisses;CFT
10;74
20;83
30;76
40;85
50;86
60;74;START
70;62
80;61
90;62
100;57
110;55
120;57
130;60
140;58
150;57
160;56
170;57
180;55
190;53
200;51
210;53
220;57
230;57
240;54
250;55
260;60
270;57
280;60
290;60
300;57
310;59
320;60
330;64
340;72
350;67
360;72
370;73
380;71
390;71
400;72
410;77
420;72
430;69
440;70
450;73
460;72
470;69
480;72
490;60
500;58
510;56
520;58
530;60
540;58
550;58
560;57
570;56
580;63
590;68
600;70
610;60
620;21
630;-1
640;0
650;0
660;-0,01
670;
680;
690;
700;
710;
720;
730;
740;
750;
760;
770;
780;
790;
800;
810;
820;
830;
840;
850;
860;
;
;56
;
;71
;
;58
