route,sens,prd,abd,prf,abf,type,txt
N0122,M,123,605,124,019,technique,BBM 0/6 Laitier
N0122,M,124,019,124,183,technique,BBE Blanchon
N0122,M,124,183,124,428,technique,BBE 100% GNEISS
N0122,M,124,428,124,738,technique,BBE Blanchon
N0122,M,124,738,125,097,technique,BBM 50% GNEISS
N0122,M,125,097,125,539,technique,BBE Blanchon
N0122,M,125,539,125,745,technique,BBM 100% GNEISS
N0122,M,125,745,125,959,technique,BBE Blanchon
N0122,M,123,605,124,019,geometrie,VIRAGE 1
N0122,M,124,019,124,183,geometrie,DROITE
N0122,M,124,183,124,428,geometrie,VIRAGE 2
N0122,M,124,428,124,738,geometrie,DROITE
N0122,M,124,738,125,097,geometrie,VIRAGE 3
N0122,M,125,097,125,539,geometrie,VIRAGE
N0122,M,125,539,125,745,geometrie,VIRAGE 4
N0122,M,125,745,125,959,geometrie,QUASI DROITE
